condition,metric,mean,median,sd,n
agent,latency_s,1.8888917394603293,2.0138314260402694,0.5485380669179256,15
agent,avg_process_cpu_percent,74.40645581441795,72.6328125,5.129305197979449,15
agent,peak_process_cpu_percent,525.2266666666667,404.5,257.44116516946065,15
agent,llm_calls,5.666666666666667,6.0,0.7237468644557459,15
agent,tool_calls,5.666666666666667,6.0,0.7237468644557459,15
agent,prompt_tokens,9134.466666666667,10977.0,3115.1935474533902,15
agent,completion_tokens,219.93333333333334,243.0,68.60285985986576,15
agent,total_tokens,9354.4,11220.0,3163.9785939315616,15
agent,avg_kv_cache_usage_fraction,0.006652030922404434,0.0068941485777701495,0.0011069830574712291,15
agent,peak_kv_cache_usage_fraction,0.010683282468633445,0.011088504577822955,0.0007718484273089575,15
agent,reward,0.18095238095238095,0.0,0.37590189568527876,15
agent,steps,5.666666666666667,6.0,0.7237468644557459,15
chatbot,latency_s,0.17199332972522824,0.1786587440292351,0.031953283337918914,15
chatbot,avg_process_cpu_percent,99.89885821170574,94.575,16.65214060177074,15
chatbot,peak_process_cpu_percent,462.56,432.70000000000005,176.12266747923164,15
chatbot,llm_calls,1.0,1.0,0.0,15
chatbot,tool_calls,0.0,0.0,0.0,15
chatbot,prompt_tokens,87.4,90.0,10.808726633076231,15
chatbot,completion_tokens,17.6,19.0,3.794733192202055,15
chatbot,total_tokens,105.0,109.0,13.948886284267592,15
chatbot,avg_kv_cache_usage_fraction,0.0005920182148590066,0.0006273312987453088,0.00010983448984895012,15
chatbot,peak_kv_cache_usage_fraction,0.0009867751780264112,0.0009918616480162346,9.179835313096906e-05,15
chatbot,reward,0.0,0.0,0.0,15
chatbot,steps,1.0,1.0,0.0,15
