request_id,timestamp_s,elapsed_s,process_cpu_percent,system_cpu_percent
agent_001,1784813567.0676086,0.013702667027246207,0.0,7.6
agent_001,1784813567.0750031,0.021097414020914584,135.3,4.3
agent_001,1784813567.083942,0.030035940988454968,111.8,1.8
agent_001,1784813567.0936718,0.03976571897510439,0.0,1.6
agent_001,1784813567.1035976,0.049691434018313885,0.0,1.6
agent_001,1784813567.1135511,0.059645108005497605,200.9,1.6
agent_001,1784813567.1235147,0.06960871297633275,0.0,1.6
agent_001,1784813567.133512,0.07960581697989255,0.0,0.0
agent_001,1784813567.1434906,0.08958463103044778,100.2,3.1
agent_001,1784813567.153502,0.0995960549917072,99.9,1.6
agent_001,1784813567.164219,0.11031289002858102,93.3,0.0
agent_001,1784813567.1736677,0.1197616609861143,0.0,4.9
agent_001,1784813567.1835945,0.12968866602750495,201.5,3.1
agent_001,1784813567.1935952,0.13968904997454956,100.0,1.6
agent_001,1784813567.2035701,0.14966415497474372,200.5,3.1
agent_001,1784813567.213613,0.15970701799960807,99.6,3.1
agent_001,1784813567.2235847,0.16967885300982744,200.6,3.1
agent_001,1784813567.2335992,0.17969328601611778,199.7,3.1
agent_001,1784813567.24359,0.1896840209956281,100.1,1.6
agent_001,1784813567.253621,0.19971482397522777,99.7,4.6
agent_001,1784813567.2636154,0.20970958803081885,200.1,1.6
agent_001,1784813567.2736046,0.21969858300872147,300.29999999999995,3.1
agent_001,1784813567.2835996,0.2296935369959101,100.0,3.1
agent_001,1784813567.2936053,0.2396994410082698,99.9,1.6
agent_001,1784813567.3035746,0.24966858502011746,200.6,4.6
agent_001,1784813567.3135574,0.2596515589975752,100.2,1.6
agent_001,1784813567.3235877,0.2696816130192019,199.4,3.1
agent_001,1784813567.3336048,0.2796989069902338,199.6,3.1
agent_001,1784813567.343571,0.2896650009788573,0.0,1.6
agent_001,1784813567.3535283,0.2996222560177557,200.8,3.1
agent_001,1784813567.3635826,0.3096770499832928,298.4,3.1
agent_001,1784813567.373565,0.31965898402268067,100.2,4.6
agent_001,1784813567.3835833,0.32967722800094634,199.6,1.6
agent_001,1784813567.3935559,0.33965009200619534,100.3,3.1
agent_001,1784813567.4035766,0.3496706759906374,199.6,3.1
agent_001,1784813567.413568,0.35966194997308776,100.1,3.1
agent_001,1784813567.4235685,0.3696623439900577,200.0,1.6
agent_001,1784813567.4335754,0.3796695080236532,199.8,3.1
agent_001,1784813567.4435983,0.3896924320142716,99.8,1.6
agent_001,1784813567.453585,0.3996789060183801,200.2,4.6
agent_001,1784813567.4635944,0.4096884499886073,199.8,3.1
agent_001,1784813567.4735873,0.4196812940062955,100.1,3.1
agent_001,1784813567.4835975,0.42969146801624447,99.9,1.6
agent_001,1784813567.4935613,0.4396553519763984,301.20000000000005,1.6
agent_001,1784813567.5036283,0.44972225598758087,99.3,3.1
agent_001,1784813567.5135872,0.45968129101675004,200.8,4.6
agent_001,1784813567.523617,0.46971108397701755,99.7,1.6
agent_001,1784813567.5335772,0.4796712690149434,200.8,3.2
agent_001,1784813567.5436122,0.48970621201442555,99.7,3.1
agent_001,1784813567.5549235,0.5010175799834542,88.6,2.8
agent_001,1784813567.5635343,0.5096284109749831,0.0,1.8
agent_001,1784813567.5734959,0.5195897159865126,100.4,1.6
agent_001,1784813567.5834992,0.5295932000153698,100.0,1.6
agent_001,1784813567.5935078,0.5396017840248533,99.9,1.6
agent_001,1784813567.6036065,0.5497005470097065,0.0,3.1
agent_001,1784813567.6136334,0.5597274110186845,0.0,1.6
agent_001,1784813567.6237783,0.5698723029927351,197.2,3.1
agent_001,1784813567.6338077,0.5799015560187399,0.0,0.0
agent_001,1784813567.6437778,0.5898718810058199,0.0,1.6
agent_001,1784813567.6537635,0.5998576550045982,100.2,3.1
agent_001,1784813567.6637983,0.6098922889796086,99.7,3.1
agent_001,1784813567.6737847,0.6198788229958154,0.0,1.6
agent_001,1784813567.68375,0.6298439570236951,100.4,1.6
agent_001,1784813567.6937256,0.6398196319933049,100.2,3.1
agent_001,1784813567.703748,0.6498422659933567,0.0,1.6
agent_001,1784813567.7137644,0.6598582990118302,0.0,3.1
agent_001,1784813567.7246838,0.6707779620192014,183.3,1.4
agent_001,1784813567.7338214,0.6799153669853695,0.0,1.7
agent_001,1784813567.7437098,0.689803741988726,0.0,1.6
agent_001,1784813567.7537239,0.6998180259834044,199.7,1.6
agent_001,1784813567.7637177,0.7098117300192825,0.0,1.6
agent_001,1784813567.7737362,0.7198303139884956,0.0,4.6
agent_001,1784813567.783701,0.7297950889915228,100.4,1.6
agent_001,1784813567.7937257,0.7398197430302389,99.8,1.6
agent_001,1784813567.8037086,0.7498026270186529,0.0,1.6
agent_001,1784813567.8137045,0.7597985109896399,100.0,3.1
agent_001,1784813567.8236966,0.769790734979324,0.0,1.6
agent_001,1784813567.8337443,0.7798384689958766,199.0,1.6
agent_001,1784813567.8437562,0.7898503530304879,0.0,1.6
agent_001,1784813567.8537776,0.7998717859736644,0.0,3.1
agent_001,1784813567.8637764,0.8098706100136042,100.0,1.6
agent_001,1784813567.873717,0.8198110950179398,100.6,1.6
agent_001,1784813567.8837178,0.8298118090024218,0.0,3.1
agent_001,1784813567.8937516,0.8398455230053514,99.7,1.6
agent_001,1784813567.9037485,0.8498427669983357,100.0,1.6
agent_001,1784813567.9137437,0.859837691008579,0.0,3.1
agent_001,1784813567.9237492,0.8698431550292298,99.9,1.6
agent_001,1784813567.9337204,0.8798143889871426,0.0,1.6
agent_001,1784813567.9437459,0.8898398230085149,99.8,1.6
agent_001,1784813567.9537745,0.8998683770187199,99.7,4.5
agent_001,1784813567.9637396,0.9098337410250679,0.0,1.6
agent_001,1784813567.973765,0.9198588550207205,99.8,1.6
agent_001,1784813567.9837434,0.9298375099897385,0.0,1.6
agent_001,1784813567.9937203,0.9398142540012486,200.5,3.1
agent_001,1784813568.0037692,0.9498630969901569,0.0,1.6
agent_001,1784813568.013755,0.9598490810021758,0.0,3.1
agent_001,1784813568.0237532,0.9698472759919241,100.0,1.6
agent_001,1784813568.03377,0.9798639889922924,99.8,1.6
agent_001,1784813568.0437536,0.989847754011862,100.2,1.6
agent_001,1784813568.0537808,0.999874816974625,0.0,3.1
agent_001,1784813568.0637772,1.009871440997813,100.0,1.6
agent_001,1784813568.0737543,1.0198483259882778,0.0,1.6
agent_001,1784813568.0837598,1.0298537699854933,99.9,3.1
agent_001,1784813568.093766,1.039859913988039,99.9,1.6
agent_001,1784813568.1037533,1.0498472779872827,0.0,1.6
agent_001,1784813568.1137214,1.059815492015332,0.0,3.1
agent_001,1784813568.1237411,1.069835096015595,199.6,1.6
agent_001,1784813568.1337528,1.0798467900021933,0.0,3.1
agent_001,1784813568.143775,1.0898690239991993,99.8,1.6
