request_id,condition,latency_s,avg_process_cpu_percent,peak_process_cpu_percent,llm_calls,tool_calls,prompt_tokens,completion_tokens,total_tokens,avg_kv_cache_usage_fraction,peak_kv_cache_usage_fraction
agent_001,agent,2.3425697250058874,77.53461538461538,301.20000000000005,2,1,326,279,605,0.002194681378302948,0.003916581892166815
agent_002,agent,1.2882058119866997,90.2921875,299.8,2,1,367,127,494,0.0014802021970395937,0.0027975584944048837
agent_003,agent,2.3179817119962536,75.62241379310345,383.4,2,1,619,275,894,0.0032042568491949387,0.00518819938962356
agent_004,agent,0.7371151599800214,111.84324324324324,303.2,2,1,361,45,406,0.000690797613483279,0.001958290946083463
agent_005,agent,4.0585421830182895,70.51012345679013,300.8,2,1,518,526,1044,0.004106196974176768,0.0068667344862665125
