request_id,condition,latency_s,avg_process_cpu_percent,peak_process_cpu_percent,llm_calls,tool_calls,prompt_tokens,completion_tokens,total_tokens,avg_kv_cache_usage_fraction,peak_kv_cache_usage_fraction,reward,steps
agent_001,agent,1.547096968977712,82.39480519480519,796.8000000000001,6,6,11814,182,11996,0.0068941485777701495,0.011291963377416114,0.0,6
agent_002,agent,1.0153862619772553,75.14851485148515,318.0,4,4,3216,117,3333,0.0048316478168073124,0.009282807731434417,0.8571428571428571,4
agent_003,agent,2.4880581159959547,69.62771084337349,322.79999999999995,6,6,11384,317,11701,0.008318216916496105,0.011291963377416114,0.0,6
agent_004,agent,2.12511197704589,82.48349056603773,995.2,6,6,9364,251,9615,0.007208101098964084,0.010808748728382556,0.0,6
agent_005,agent,2.0138314260402694,71.36169154228855,276.7,6,6,10977,243,11220,0.007158257542399906,0.011088504577822955,0.0,6
