request_id,timestamp_s,elapsed_s,process_cpu_percent,system_cpu_percent
agent_001,1784292749.1612687,0.010900082008447498,0.0,1.6
agent_001,1784292749.177326,0.02695679900352843,124.6,1.0
agent_001,1784292749.1928344,0.0424649270134978,0.0,0.0
agent_001,1784292749.2081444,0.057775048015173525,0.0,1.0
agent_001,1784292749.2234297,0.0730601710092742,65.4,1.0
agent_001,1784292749.2389019,0.08853239900781773,64.6,1.0
agent_001,1784292749.2541864,0.10381699999561533,0.0,1.0
agent_001,1784292749.2695873,0.11921788001200184,0.0,0.0
agent_001,1784292749.2850556,0.13468636901234277,64.6,1.0
agent_001,1784292749.3003385,0.14996905002044514,65.4,1.0
agent_001,1784292749.3157525,0.165383000014117,0.0,1.0
agent_001,1784292749.3311315,0.18076201001531444,195.1,2.0
agent_001,1784292749.3464975,0.1961282099946402,65.1,3.0
agent_001,1784292749.3618827,0.21151325001847,130.0,2.0
agent_001,1784292749.3772578,0.22688841001945548,195.1,1.0
agent_001,1784292749.3926425,0.24227310001151636,130.0,3.0
agent_001,1784292749.4080062,0.25763657002244145,65.1,2.0
agent_001,1784292749.4233997,0.27303010001196526,130.0,2.0
agent_001,1784292749.4388092,0.28843963000690565,194.70000000000002,2.0
agent_001,1784292749.4541988,0.3038294300204143,65.0,2.0
agent_001,1784292749.4695728,0.31920349001302384,130.1,2.0
agent_001,1784292749.48494,0.33457068001735024,130.2,2.0
agent_001,1784292749.5003173,0.3499479000165593,195.1,3.0
agent_001,1784292749.515705,0.36533565999707207,65.0,2.0
agent_001,1784292749.5310588,0.3806891599961091,130.3,1.0
agent_001,1784292749.5464396,0.39607020001858473,195.0,2.0
agent_001,1784292749.5618005,0.41143090100376867,195.29999999999998,3.0
agent_001,1784292749.5772054,0.42683602002216503,64.9,2.0
agent_001,1784292749.59257,0.44220074100303464,195.29999999999998,2.0
agent_001,1784292749.6079597,0.45759043999714777,65.0,2.0
agent_001,1784292749.6233156,0.47294604100170545,195.29999999999998,2.0
agent_001,1784292749.6386895,0.4883201910124626,65.0,2.0
agent_001,1784292749.6540577,0.5036883510183543,195.2,2.0
agent_001,1784292749.669436,0.5190664709953126,130.0,2.0
agent_001,1784292749.6848476,0.5344780710001942,129.8,2.0
agent_001,1784292749.7015653,0.5511957860144321,59.9,2.8
agent_001,1784292749.716822,0.5664526089967694,0.0,0.0
agent_001,1784292749.7321346,0.581765089998953,65.3,1.0
agent_001,1784292749.7474465,0.5970771410211455,0.0,1.0
agent_001,1784292749.7627444,0.612374862015713,65.4,1.0
agent_001,1784292749.7782495,0.6278800300206058,0.0,1.0
agent_001,1784292749.793552,0.6431824710161891,65.3,0.0
agent_001,1784292749.8088543,0.6584849420178216,0.0,2.0
agent_001,1784292749.824175,0.6738054140005261,65.3,0.0
agent_001,1784292749.8395133,0.6891439940081909,65.2,0.0
agent_001,1784292749.855026,0.7046565420168918,0.0,2.0
agent_001,1784292749.8709528,0.7205835019994993,0.0,0.0
agent_002,1784292749.8792663,0.008156392024829984,0.0,2.2
agent_002,1784292749.8945363,0.023425784020218998,0.0,2.0
agent_002,1784292749.9098063,0.038695805007591844,0.0,0.0
agent_002,1784292749.9252303,0.05411993502639234,64.8,1.0
agent_002,1784292749.9405065,0.06939604700892232,65.5,1.0
agent_002,1784292749.9557717,0.08466110902372748,0.0,1.0
agent_002,1784292749.971033,0.09992276100092568,0.0,0.0
agent_002,1784292749.9865308,0.11542027900577523,64.5,1.0
agent_002,1784292750.0019937,0.1308833070215769,64.7,1.0
agent_002,1784292750.0172684,0.14615794899873435,0.0,1.0
agent_002,1784292750.0326343,0.16152401000726968,0.0,1.0
agent_002,1784292750.0481372,0.17702673701569438,64.5,1.0
agent_002,1784292750.063577,0.19246637600008398,64.8,1.0
agent_002,1784292750.0790153,0.20790487501653843,0.0,1.0
agent_002,1784292750.0943668,0.22325622601783834,195.4,3.0
agent_002,1784292750.1097214,0.23861089700949378,65.1,1.0
agent_002,1784292750.1250598,0.2539493880176451,195.60000000000002,2.0
agent_002,1784292750.1404288,0.2693183680239599,65.1,3.0
agent_002,1784292750.1557834,0.28467301902128384,130.2,1.0
agent_002,1784292750.1711597,0.3000494290026836,195.1,3.0
agent_002,1784292750.1865556,0.315445169020677,129.9,2.0
agent_002,1784292750.2019238,0.33081327902618796,130.1,2.0
agent_002,1784292750.2172692,0.346158700005617,130.4,2.0
agent_002,1784292750.2326472,0.3615366500162054,195.1,2.0
agent_002,1784292750.2479777,0.37686719102202915,65.2,2.0
agent_002,1784292750.263329,0.3922185520059429,130.3,2.0
agent_002,1784292750.2786794,0.40756881301058456,130.2,2.0
agent_002,1784292750.2940505,0.42294016300002113,130.2,3.0
agent_002,1784292750.3094096,0.43829922401346266,130.2,2.0
agent_002,1784292750.3247511,0.45364055401296355,130.4,1.0
agent_002,1784292750.3400927,0.46898228500504047,195.60000000000002,3.0
agent_002,1784292750.3554616,0.4843513060186524,65.1,1.0
agent_002,1784292750.3708158,0.4997053260158282,195.4,3.0
agent_002,1784292750.3861673,0.5150568170065526,65.1,2.0
agent_002,1784292750.4015806,0.5304700859996956,129.8,2.0
agent_002,1784292750.4169323,0.5458217970153783,130.2,2.0
agent_002,1784292750.433317,0.5622063690098003,122.1,1.9
agent_002,1784292750.453901,0.582790685002692,97.4,2.3
agent_002,1784292750.473018,0.6019076369993854,0.0,1.6
agent_002,1784292750.4920743,0.6209638900181744,104.9,0.8
agent_002,1784292750.5110931,0.639982824010076,0.0,1.6
agent_002,1784292750.5300925,0.6589821480156388,52.6,0.8
agent_002,1784292750.5490901,0.6779795530019328,52.6,0.8
agent_002,1784292750.5684564,0.6973462000023574,51.7,1.6
agent_002,1784292750.5878994,0.7167890170239843,51.4,0.8
agent_002,1784292750.6073873,0.736276922019897,0.0,0.8
agent_002,1784292750.6266317,0.7555213320010807,103.9,0.8
agent_002,1784292750.6458707,0.7747602020099293,52.0,0.8
agent_002,1784292750.6652863,0.7941759390232619,51.5,1.6
agent_002,1784292750.6847534,0.8136431740131229,51.4,0.8
agent_002,1784292750.7039757,0.8328653440112248,0.0,0.8
agent_002,1784292750.7234132,0.8523028010095004,102.9,1.6
agent_002,1784292750.74266,0.8715497509983834,0.0,0.8
agent_002,1784292750.7618914,0.8907810110249557,52.0,0.0
agent_002,1784292750.7813113,0.910200837010052,51.5,1.6
agent_002,1784292750.800541,0.9294306480151135,52.0,0.8
agent_002,1784292750.8199735,0.9488630240084603,51.5,0.8
agent_002,1784292750.8391976,0.9680873050238006,52.0,1.6
agent_002,1784292750.8585439,0.987433543021325,51.7,0.8
agent_002,1784292750.8777757,1.0066651530214585,0.0,0.8
agent_002,1784292750.8972442,1.0261337679985445,102.7,1.6
agent_002,1784292750.9166877,1.0455771340057254,51.4,0.8
agent_002,1784292750.9360702,1.0649597820010968,51.6,0.8
agent_002,1784292750.9555142,1.0844038580253255,0.0,0.8
agent_002,1784292750.974783,1.103672616998665,51.9,2.4
agent_002,1784292750.994057,1.12294649600517,51.9,1.6
agent_002,1784292751.0133438,1.1422333860246,103.7,1.6
agent_002,1784292751.032606,1.1614956050179899,0.0,0.8
agent_002,1784292751.0518517,1.1807413450151216,52.0,1.6
agent_002,1784292751.071113,1.2000029050104786,51.9,1.6
agent_002,1784292751.0903897,1.2192794440197758,51.9,1.6
agent_002,1784292751.1098385,1.238728231022833,0.0,1.6
agent_002,1784292751.1293128,1.2582024370203726,102.7,1.6
agent_002,1784292751.14855,1.2774398370238487,0.0,1.6
